"4736","1832","Lake View Tower 4","lake-view-tower-4","0","0","1","25.397924","55.579585"
"4743","1833","Meeza","meeza","0","0","1","25.399500","55.479600"
"4748","1835","Dio Twin Tower","dio-twin-tower","0","0","1","25.399500","55.479600"
"4750","1835","Emerald Vista","emerald-vista","0","0","1","25.399500","55.479600"
"4755","1835","Samaa Tower","samaa-tower","0","0","1","25.399500","55.479600"
"4762","1838","New Industrial Area","new-industrial-area","0","0","1","25.399500","55.479600"
"4767","1839","Park View Tower","park-view-tower","0","0","1","25.399500","55.479600"
"4774","3615","Al Hamra Residences","al-hamra-residences","0","0","1","25.701962","55.784851"
"4779","3615","Royal Breeze","royal-breeze","0","0","1","25.701962","55.784851"
"4781","1443","Blue Mirage","blue-mirage","0","0","1","25.800693","55.976199"
"4786","1443","Global Sea View","global-sea-view","0","0","1","25.800693","55.976199"
"4793","1443","Pacific Polynesia","pacific-polynesia","0","0","1","25.800693","55.984291"
"4798","1448","Julfar","julfar","0","0","1","25.791461","55.959473"
"4801","3618","Malibu","malibu","0","0","1","25.720612","55.837071"
"4806","3621","Julfar Commercial Tower","julfar-commercial-tower","0","0","1","25.800693","55.976199"
"4813","3624","Saraya Village","saraya-village","0","0","1","25.861961","56.000615"
"4818","3626","Al Barashi Villas","al-barashi-villas","0","0","1","25.286281","55.583277"
"4820","1776","Al Ettihad Street","al-ettihad-street","0","0","1","25.275153","55.349360"
"4825","3629","Al Burj Tower","al-burj-tower","0","0","1","25.328920","55.369224"
"4832","3629","Al Shahd Tower","al-shahd-tower","0","0","1","25.325128","55.373685"
"4837","3629","Palm Tower","palm-tower","0","0","1","25.315884","55.364893"
"4844","1781","Al Khezamia","al-khezamia","0","0","1","25.341277","55.438855"
"4849","3630","Capital Tower","capital-tower","0","0","1","25.328331","55.394209"
"4851","3630","Eissal Al Youssifi Towers","eissal-al-youssifi-towers","0","0","1","25.321338","55.385176"
"4856","3630","Palm Tower 2","palm-tower-2","0","0","1","25.323169","55.379077"
"4863","1785","Al Zain Tower","al-zain-tower","0","0","1","25.301934","55.374747"
"4868","1785","Moon Tower 1","moon-tower-1","0","0","1","25.304917","55.380600"
"4870","1785","Sharjah Gate","sharjah-gate","0","0","1","25.300670","55.379671"
"4882","1795","Majestic Tower","majestic-tower","0","0","1","25.304207","55.363508"
"4887","1797","Canal Star Tower","canal-star-tower","0","0","1","25.323529","55.380341"
"4894","1803","Sharjah Airport Freezone (Saif)","sharjah-airport-freezone-saif","0","0","1","25.322327","55.513643"
"4899","1804","Industrial Area 3","industrial-area-3","0","0","1","25.308014","55.411171"
"4902","1804","Industrial Area 6","industrial-area-6","0","0","1","25.321318","55.422244"
"4907","3640","Wasit","wasit","0","0","1","25.342500","55.471667"
"4914","1811","Mistral","mistral","0","0","1","25.526729","55.595430"
"4919","4916","Frond C","frond-c","0","0","1","25.124760","55.138817"
"4921","4916","loft cluster","loft-cluster","0","0","1","",""
"4926","3554","Al Zeina","al-zeina","0","0","1","24.456604","54.613279"
"4933","15","Orra","orra","0","0","1","25.070622","55.133327"
"4938","4934","Oqyana","oqyana","0","0","1","25.204849","55.270783"
"4940","1","Culture Village","culture-village","0","1","0","25.226667","55.338611"
"4945","4940","Iris Amber","iris-amber","0","0","1","25.225068","55.337853"
"4952","4940","Podium Tower","podium-tower","0","0","1","25.225068","55.337853"
"4957","4940","Yuvi Residence","yuvi-residence","0","0","1","25.225068","55.337853"
"5640","16","Jash Hamad","jash-hamad","0","0","1","25.107592","55.148189"
"5645","15","Bay Central West","bay-central-west","0","0","1","25.078960","55.138162"
"5657","24","Boulevard Central Tower 1","boulevard-central-tower-1","0","0","1","25.191373","55.273664"
"5664","3573","Reem Tower","reem-tower","0","0","1","24.495338","54.365279"
"5669","82","Al Hejaz","al-hejaz","0","0","1","25.025167","55.145861"
"5671","82","Almasa 2","almasa-2","0","0","1","25.025167","55.145861"
"5676","82","West Village","west-village","0","0","1","25.025167","55.145861"
"5688","24","Standpoint B","standpoint-b","0","0","1","25.196984","55.271136"
"5690","73","Jebel Ali Industrial 2","jebel-ali-industrial-2","0","0","1","25.007029","55.112450"
"5695","1","Al Warsan","al-warsan","0","1","0","25.163346","55.441623"
"5703","3593","Saadiyat Beach","saadiyat-beach","0","0","1","24.548910","54.436272"
"5708","16","Grandeur Maurya Residence","grandeur-maurya-residence","0","0","1","25.098881","55.121143"
"5710","5709","Al Wasl Road","al-wasl-road","0","0","1","25.186944","55.239684"
"5715","1","Al Warqaa","al-warqaa","0","1","0","25.191820","55.408170"
"5722","17","Barsha Horizon","barsha-horizon","0","0","1","25.109201","55.204216"
"5727","44","Gold Land Building","gold-land-building","0","0","1","25.273711","55.299922"
"5746","5745","Badrah","badrah","0","0","1","24.950784","55.049564"
"5753","68","Jumeirah Living","jumeirah-living","0","0","1","25.204849","55.270783"
"5758","1","Palm Jebel Ali","palm-jebel-ali","0","1","0","25.006000","54.988300"
"5760","5758","Garden Homes","garden-homes","0","0","1","25.007831","54.994231"
"5765","12","Alma 2","alma-2","0","0","1","25.054716","55.272542"
"5772","15","My Tower","my-tower","0","0","1","25.080542","55.140343"
"5777","1","Muhaisnah","muhaisnah","0","1","0","25.261040","55.419475"
"5784","5777","Muhaisnah 3","muhaisnah-3","0","0","1","25.271226","55.404252"
